regime,case_type,subset_seed,graph_id,edge_id,src,dst,w_true,w_hat_2stage,w_hat_spoplus,abs_err_2stage,abs_err_spoplus,rank_err_2stage,rank_err_spoplus,in_opt,in_2stage,in_spoplus,in_any_selected,in_2stage_symdiff,in_spoplus_symdiff,utility,recipient_cPRA
step2b_poly_d8,large_improvement,1,G-1040.json,0,0,14,6.988800048828125,8.073109376806773,12.900360859992084,1.084309327978648,5.911560811163959,159,39,False,False,False,False,False,False,0.8100000023841858,0.0
step2b_poly_d8,large_improvement,1,G-1040.json,1,1,4,3.0552000999450684,8.26023188894283,8.63843689205793,5.205031788997761,5.583236792112862,26,75,False,False,False,False,False,False,0.23999999463558197,0.648888349533081
step2b_poly_d8,large_improvement,1,G-1040.json,2,1,17,16.21030044555664,14.94234573418452,16.988735287838047,1.26795471137212,0.7784348422814062,152,187,False,False,False,False,False,False,0.6100000143051147,0.9800000190734863
step2b_poly_d8,large_improvement,1,G-1040.json,3,1,30,0.21529999375343323,1.1022303656368109,1.5243338012083427,0.8869303718833776,1.3090338074549095,165,179,False,False,False,False,False,False,0.07999999821186066,0.03371343016624451
step2b_poly_d8,large_improvement,1,G-1040.json,4,1,36,29.86590003967285,17.325144285315467,20.726020891909712,12.540755754357384,9.13987914776314,4,4,False,False,False,False,False,False,0.8399999737739563,0.9900000095367432
step2b_poly_d8,large_improvement,1,G-1040.json,5,1,39,4.1427998542785645,10.132479291178246,9.86515530685535,5.9896794368996815,5.722355452576785,16,56,False,False,False,False,False,False,0.20000000298023224,0.8999999761581421
step2b_poly_d8,large_improvement,1,G-1040.json,6,2,17,22.879199981689453,16.238029903814326,19.05916349197258,6.6411700778751275,3.8200364897168733,9,137,False,False,False,False,False,False,0.7400000095367432,0.9800000190734863
step2b_poly_d8,large_improvement,1,G-1040.json,7,3,30,3.437299966812134,6.085631052332279,9.48751925649226,2.6483310855201454,6.0502192896801255,79,28,False,False,False,False,False,False,0.5799999833106995,0.03371343016624451
step2b_poly_d8,large_improvement,1,G-1040.json,8,5,4,9.589500427246094,11.748612265667814,14.212666544631672,2.1591118384217207,4.623166117385578,121,114,False,False,False,False,False,False,0.5899999737739563,0.648888349533081
step2b_poly_d8,large_improvement,1,G-1040.json,9,5,7,0.4675000011920929,1.79402437196458,2.8667469632522087,1.3265243707724872,2.399246962060116,150,162,False,False,False,False,False,False,0.18000000715255737,0.0
step2b_poly_d8,large_improvement,1,G-1040.json,10,5,14,0.4332999885082245,1.6943563017942418,2.7074831639643877,1.2610563132860173,2.274183175456163,153,165,False,False,False,False,False,False,0.17000000178813934,0.0
step2b_poly_d8,large_improvement,1,G-1040.json,11,5,23,2.6577000617980957,7.3439683235294995,8.118842187410934,4.686268261731404,5.461142125612838,42,83,False,False,False,False,False,False,0.27000001072883606,0.5145075917243958
step2b_poly_d8,large_improvement,1,G-1040.json,12,5,24,4.588699817657471,6.777425207176967,10.82993265585755,2.1887253895194965,6.24123283820008,118,7,False,False,False,False,False,False,0.6800000071525574,0.0
