topology_id,source_path,num_vertices,num_pairs,num_ndds,num_arcs,max_cycle,max_chain,num_2cycles,num_3cycles,num_cycles_total,num_chains_total,num_feasible_candidates,topology_hash,arc_order_hash,feasible_set_hash,template_path
G-0,dataset/processed/step3_pairs7_step2c_poly_d8_mult_eps050_seed20260619/G-0.json,9,7,2,8,3,4,0,0,0,2,2,ca8ec262f2a464f66a23c0148b92a30f402f134c0de24d7f2bc6c70758617c8d,9248d2e6bc3479f90ac12e305323cebb22479ebca4aa1dfe9bfe9d12384305ba,0ddd5e847900b90a3fb1c0688a4ccab35680a16e5ff1eca3b63e5b0d611a1d33,surrogate_experiment_results/Step3/pairs7/data/topologies/G-0/template.json
G-1,dataset/processed/step3_pairs7_step2c_poly_d8_mult_eps050_seed20260619/G-1.json,9,7,2,6,3,4,0,0,0,3,3,4145ca2a4e54470a23667e63791b7403d94f9cd0be386d95dbc86b1a79efa561,cd80d2496cddf39d2ca7b20476ba6d07a0f6150268d2b8f8d3b88893eb7c6355,c24ad71012cc9933eaff57e17de4bbcb5626c813035b2e629f8036e3b555bb29,surrogate_experiment_results/Step3/pairs7/data/topologies/G-1/template.json
G-2,dataset/processed/step3_pairs7_step2c_poly_d8_mult_eps050_seed20260619/G-2.json,9,7,2,9,3,4,0,0,0,3,3,c610b24dc66c6ef4f5832ea7c1fd8f824946db9769f51354b0bc2f9ef72ca7d4,b8c8c23c5e7f6d7c9ce45731d7036c02f8f599188d352aa58e4894906091dc6f,e2a8709ab73a7a11c330c4e8749b39b36ad241d15d8f1d29fc63f9277597f049,surrogate_experiment_results/Step3/pairs7/data/topologies/G-2/template.json
G-3,dataset/processed/step3_pairs7_step2c_poly_d8_mult_eps050_seed20260619/G-3.json,9,7,2,7,3,4,0,0,0,4,4,d7c0e7c436168f75b9f0a9441b7c5b2feac451a54cdf3c70359e4a28b4dacd46,47a13a84b517af7891a2259cd5f851f6bff09611f5569c731dd07ef198cb65ae,c26a93c5c69a77baa93ffd592fc9dd40d255fa57ff2335191ba11f1fb9d959da,surrogate_experiment_results/Step3/pairs7/data/topologies/G-3/template.json
G-4,dataset/processed/step3_pairs7_step2c_poly_d8_mult_eps050_seed20260619/G-4.json,9,7,2,7,3,4,0,0,0,3,3,2f224bc469e6e247e2897196dff869dfee357d402d4e52e83c22f9b0bb4ec022,08101578121a7bac2e206bea208f7650542b376b5f59a252b22136b1e3c3fa2e,621c29d0d747794ec1573fa9d97d812080f2a4bdce486954b2f8c7a1b91627f0,surrogate_experiment_results/Step3/pairs7/data/topologies/G-4/template.json
G-5,dataset/processed/step3_pairs7_step2c_poly_d8_mult_eps050_seed20260619/G-5.json,9,7,2,3,3,4,0,0,0,3,3,afeed6c245613c979ea16045676170161cb07396059278230202674a84f9de7d,8ace938dddb7d3856b705260ee972a1b0c7c5ca722fcefd2d60287b4ca120d18,dfd5f7a1e2de1d3e0adbc8d290fcc8a4b461d4ccc2351b3c6938a269cafcc256,surrogate_experiment_results/Step3/pairs7/data/topologies/G-5/template.json
G-6,dataset/processed/step3_pairs7_step2c_poly_d8_mult_eps050_seed20260619/G-6.json,9,7,2,3,3,4,0,0,0,2,2,8eeeb2a9645cd3ab974611feb220f309ec918a919502e342da1cb88f4171cc1d,c87f35ccd9508ef3643cf684b83a427ca3b9e075c3da396614c042b715a5c3cd,eafedc3f2c598fdb3433d4a164a4e0c9ac408a64782f43b367bd01dbbfef1eac,surrogate_experiment_results/Step3/pairs7/data/topologies/G-6/template.json
G-7,dataset/processed/step3_pairs7_step2c_poly_d8_mult_eps050_seed20260619/G-7.json,9,7,2,4,3,4,0,0,0,2,2,1a5b48b02141ffbe217c36912b48a1227dfed0347440c10bf07e32940df34ece,f35b71311858d92ff1aeccd4fa1cc1a989e86302edb2ea2c8f187a27454c7f5d,97a27578a0ab15e23c32638f594cfdcbcbefb54247f63997a80ec2fd37a630e4,surrogate_experiment_results/Step3/pairs7/data/topologies/G-7/template.json
G-8,dataset/processed/step3_pairs7_step2c_poly_d8_mult_eps050_seed20260619/G-8.json,9,7,2,4,3,4,0,0,0,2,2,6aa6c1371bb5c85ed02abfdd02f156d1a374ced9d83cdffb848c5e8a129e284f,6371e108daa7535b4815f4667529ef4488b3a4bd6328f83a5950cf07d7e99a80,f03a405d7068d9ee4f3b88e787deb48e789350149b70b7a1aa51c0236f780da5,surrogate_experiment_results/Step3/pairs7/data/topologies/G-8/template.json
G-9,dataset/processed/step3_pairs7_step2c_poly_d8_mult_eps050_seed20260619/G-9.json,9,7,2,5,3,4,0,0,0,2,2,5ba1b4ed2335508bc0d7e999ff4f63d53bf0c1a3b9fb58148cb135520c41b90e,c4cea4647a7df8954aa0ec44ef99fa20fb77a04d458b39f3afc1e42596b7aa59,ed2b33939d77a4944b52a7f85d8c65a7d9ec010819644326c2de1c42fc4b3074,surrogate_experiment_results/Step3/pairs7/data/topologies/G-9/template.json
