topology_id,train_seed,status_100,status_500,seed_outcome_100,seed_outcome_500,seed_outcome_changed,improvement_gap_100,improvement_gap_500,delta_improvement_gap,normalized_improvement_gap_100,normalized_improvement_gap_500,delta_normalized_improvement_gap,test_gap_2stage_100,test_gap_2stage_500,delta_test_gap_2stage,test_gap_spoplus_100,test_gap_spoplus_500,delta_test_gap_spoplus,selected_epoch_2stage_100,selected_epoch_2stage_500,selected_epoch_spoplus_100,selected_epoch_spoplus_500,epoch_2stage_at_max_100,epoch_2stage_at_max_500,epoch_spoplus_at_max_100,epoch_spoplus_at_max_500
G-9,1,success,success,tie,better,True,0.0,5.506629457473755,5.506629457473755,0.0,0.08791446282881439,0.08791446282881439,5.512014642715454,5.512014642715454,0.0,5.512014642715454,0.005385185241699219,-5.506629457473755,100,275,100,500,True,False,True,True
G-9,2,success,success,tie,better,True,0.0,5.506629457473755,5.506629457473755,0.0,0.08791446282881439,0.08791446282881439,5.512014642715454,5.512014642715454,0.0,5.512014642715454,0.005385185241699219,-5.506629457473755,100,269,100,500,True,False,True,True
G-9,3,success,success,tie,better,True,0.0,5.506629457473755,5.506629457473755,0.0,0.08791446282881439,0.08791446282881439,5.512014642715454,5.512014642715454,0.0,5.512014642715454,0.005385185241699219,-5.506629457473755,100,298,100,500,True,False,True,True
G-9,4,success,success,tie,better,True,0.0,5.506629457473755,5.506629457473755,0.0,0.08791446282881439,0.08791446282881439,5.512014642715454,5.512014642715454,0.0,5.512014642715454,0.005385185241699219,-5.506629457473755,100,266,100,500,True,False,True,True
G-9,5,success,success,tie,better,True,0.0,5.506629457473755,5.506629457473755,0.0,0.08791446282881439,0.08791446282881439,5.512014642715454,5.512014642715454,0.0,5.512014642715454,0.005385185241699219,-5.506629457473755,100,266,100,500,True,False,True,True
G-9,6,success,success,tie,better,True,0.0,5.506629457473755,5.506629457473755,0.0,0.08791446282881439,0.08791446282881439,5.512014642715454,5.512014642715454,0.0,5.512014642715454,0.005385185241699219,-5.506629457473755,100,302,100,500,True,False,True,True
G-9,7,success,success,tie,better,True,0.0,5.506629457473755,5.506629457473755,0.0,0.08791446282881439,0.08791446282881439,5.512014642715454,5.512014642715454,0.0,5.512014642715454,0.005385185241699219,-5.506629457473755,100,307,100,500,True,False,True,True
G-9,8,success,success,tie,better,True,0.0,5.506629457473755,5.506629457473755,0.0,0.08791446282881439,0.08791446282881439,5.512014642715454,5.512014642715454,0.0,5.512014642715454,0.005385185241699219,-5.506629457473755,100,271,100,500,True,False,True,True
G-9,9,success,success,tie,better,True,0.0,5.506629457473755,5.506629457473755,0.0,0.08791446282881439,0.08791446282881439,5.512014642715454,5.512014642715454,0.0,5.512014642715454,0.005385185241699219,-5.506629457473755,100,307,100,500,True,False,True,True
G-9,10,success,success,tie,better,True,0.0,5.506629457473755,5.506629457473755,0.0,0.08791446282881439,0.08791446282881439,5.512014642715454,5.512014642715454,0.0,5.512014642715454,0.005385185241699219,-5.506629457473755,100,309,100,500,True,False,True,True
