topology_id,diagnostic_role,sample_size,training_size,validation_size,max_epochs,selected_epoch_2stage,selected_epoch_spoplus,two_stage_cap_hit,spoplus_cap_hit,test_normalized_gap_2stage,test_normalized_gap_spoplus,normalized_improvement_pp,relative_improvement_pct,test_gap_2stage,test_gap_spoplus,raw_gap_improvement,fraction_improved_over_2stage,exact_achieved_objective_matches,exact_gap_matches,test_row_pairs,all_achieved_objectives_exactly_equal,max_abs_achieved_objective_difference,test_hash,train_prefix_hash,validation_hash,job_dir
G-0,ceiling_zero,50,40,10,1500,773,384,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1000,1000,1000,True,0.0,9ca047d9d14ce29e8f22a6d8c217f7f05c592c930976dd846ccafea8444235ce,57aa748e91934381c8980a646d76da015dc3fda8f80ebd3246cff8c0b9bd726d,5c802fa380e8832d8436e91d6ccd028491ff233728f4a180ceeb72fd54622b43,surrogate_experiment_results/Step5_topology_dfl_suitability/experiment_01_weak_label_seed42_sample50/results/smoke20/jobs/step2c_poly_d8_mult_eps050/G-0/data_seed=000042/sample_size=050
G-0,ceiling_zero,100,80,20,1500,786,226,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1000,1000,1000,True,0.0,9ca047d9d14ce29e8f22a6d8c217f7f05c592c930976dd846ccafea8444235ce,fec04637fb30d3ca0405298a76cf65bca2781c1e890c343c57f9896c3fb2491e,f1c2b75623fd3ef5d5c7d1858eb12ac0837e0a3d76acef821264e2b8b2043422,surrogate_experiment_results/Step5_topology_dfl_suitability/experiment_02_sample_size_sensitivity_seed42/results/sample_size100/jobs/step2c_poly_d8_mult_eps050/G-0/data_seed=000042/sample_size=100
G-0,ceiling_zero,250,200,50,1500,747,442,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1000,1000,1000,True,0.0,9ca047d9d14ce29e8f22a6d8c217f7f05c592c930976dd846ccafea8444235ce,ae6465608fbd5904953475392205c090606894f29e48e6c5387d1c3e7c036040,56ad52dceeb4c7a5a30623b286a45fd009e48b54d30521eb14072283ce33ca85,surrogate_experiment_results/Step5_topology_dfl_suitability/experiment_02_sample_size_sensitivity_seed42/results/sample_size250/jobs/step2c_poly_d8_mult_eps050/G-0/data_seed=000042/sample_size=250
G-3,ordinary_zero,50,40,10,1500,376,792,False,False,0.010614669517101301,0.010614669517101301,0.0,0.0,0.8696651382446289,0.8696651382446289,0.0,0.0,1000,1000,1000,True,0.0,f81ff10578e5408507cc5e0e21695b0c21dec75b1f7d6a03b308dcb63f57c45d,17df5fe957e6845d724d3b5144bf4d2cfb6038d1068eccba5940310c4bf8d26e,f9769bda0f030962375d3b40c42451442d2fbc6e88648dcd71c800a0d87480f3,surrogate_experiment_results/Step5_topology_dfl_suitability/experiment_01_weak_label_seed42_sample50/results/smoke20/jobs/step2c_poly_d8_mult_eps050/G-3/data_seed=000042/sample_size=050
G-3,ordinary_zero,100,80,20,1500,392,739,False,False,0.010614669517101301,0.010614669517101301,0.0,0.0,0.8696651382446289,0.8696651382446289,0.0,0.0,1000,1000,1000,True,0.0,f81ff10578e5408507cc5e0e21695b0c21dec75b1f7d6a03b308dcb63f57c45d,7ca04238ef2f075fe1f9b50a1c886ae641d67ccf916df8bf636728208256cc5c,e65de75340373c9dff02aa4ae75f58bf3ea6c316543dabfa71a43234648ad21f,surrogate_experiment_results/Step5_topology_dfl_suitability/experiment_02_sample_size_sensitivity_seed42/results/sample_size100/jobs/step2c_poly_d8_mult_eps050/G-3/data_seed=000042/sample_size=100
G-3,ordinary_zero,250,200,50,1500,443,830,False,False,0.010614669517101301,0.010614669517101301,0.0,0.0,0.8696651382446289,0.8696651382446289,0.0,0.0,1000,1000,1000,True,0.0,f81ff10578e5408507cc5e0e21695b0c21dec75b1f7d6a03b308dcb63f57c45d,db2f807dbb8bfb4216726e4306c278e76d7e821f90634cbbde720cae485c1da0,534d7fdd20ce89e2559de5e90b9dbc76d3d732dbfba6a00f2a6342afb0e43f29,surrogate_experiment_results/Step5_topology_dfl_suitability/experiment_02_sample_size_sensitivity_seed42/results/sample_size250/jobs/step2c_poly_d8_mult_eps050/G-3/data_seed=000042/sample_size=250
G-14,high_gap_zero,50,40,10,1500,754,129,False,False,0.17232657642685775,0.17232657642685775,0.0,0.0,20.463808555603027,20.463808555603027,0.0,0.0,1000,1000,1000,True,0.0,afe37e08ad38556c4bf6cc544848f42212a10b66a9876011cfc0e7a320d4d660,3517def5e6315f1767dfd17c759a52ad907abd0b8ce750d504608fad185351bd,64945449e8179d04c516bb571450ff8f00b102fab29024864ea28e705dd53f68,surrogate_experiment_results/Step5_topology_dfl_suitability/experiment_01_weak_label_seed42_sample50/results/smoke20/jobs/step2c_poly_d8_mult_eps050/G-14/data_seed=000042/sample_size=050
G-14,high_gap_zero,100,80,20,1500,928,148,False,False,0.17232657642685775,0.17232657642685775,0.0,0.0,20.463808555603027,20.463808555603027,0.0,0.0,1000,1000,1000,True,0.0,afe37e08ad38556c4bf6cc544848f42212a10b66a9876011cfc0e7a320d4d660,9b677c60fb0ac7c448c4180b8de386e6b07059e9d0f02fb5e47ca4857990875a,7af921ce8a93ca1445172cc762e61d966d0a5c37db23f7c9a89b0ab315c9ddfb,surrogate_experiment_results/Step5_topology_dfl_suitability/experiment_02_sample_size_sensitivity_seed42/results/sample_size100/jobs/step2c_poly_d8_mult_eps050/G-14/data_seed=000042/sample_size=100
G-14,high_gap_zero,250,200,50,1500,720,149,False,False,0.17232657642685775,0.17232657642685775,0.0,0.0,20.463808555603027,20.463808555603027,0.0,0.0,1000,1000,1000,True,0.0,afe37e08ad38556c4bf6cc544848f42212a10b66a9876011cfc0e7a320d4d660,542eac08b05aa8b42e7149092f65dee5ee8aa350b17e354c25d34bee69b5b010,db6eb1b239d7a3977f2298151ac5f173a0ea3dede2ad788825254c203b81ca6c,surrogate_experiment_results/Step5_topology_dfl_suitability/experiment_02_sample_size_sensitivity_seed42/results/sample_size250/jobs/step2c_poly_d8_mult_eps050/G-14/data_seed=000042/sample_size=250
G-15,cap_hit_zero,50,40,10,1500,548,1500,False,True,1.506868049021517e-05,1.506868049021517e-05,0.0,0.0,0.00078179931640625,0.00078179931640625,0.0,0.0,1000,1000,1000,True,0.0,5b0c8d1696972c55025a2da40fc3d6ff345c2f6ee3ad7c36c8082915bb1184c8,5491bb650583d1bd5e6fb0345ed9c3e6acd3ea6acb205d3e4f00b8f4793ff126,6ac538e44850be5d9608b51ba0e44ccc5370b2818d1b978ef2392a34c8fe2075,surrogate_experiment_results/Step5_topology_dfl_suitability/experiment_01_weak_label_seed42_sample50/results/smoke20/jobs/step2c_poly_d8_mult_eps050/G-15/data_seed=000042/sample_size=050
