graph_id,num_nodes,num_edges,density,mutual_pairs_2cycles,directed_3cycles,weak_components,strong_components,largest_wcc_nodes,largest_scc_nodes,largest_scc_frac,mean_total_degree,max_total_degree,total_degree_gini
G-1.json,53,189,0.068577648766328,4,7,3,32,51,21,0.39622641509433965,7.132075471698113,26,0.3973245482679445
G-1000.json,53,208,0.07547169811320754,5,12,3,32,51,22,0.41509433962264153,7.849056603773585,28,0.41092162554426703
G-1010.json,53,248,0.0899854862119013,3,16,1,26,53,28,0.5283018867924528,9.358490566037736,26,0.37956482045039563
G-102.json,53,188,0.06821480406386067,3,11,4,32,49,22,0.41509433962264153,7.09433962264151,27,0.45513849859494176
G-1022.json,53,201,0.07293178519593614,5,10,3,30,51,24,0.4528301886792453,7.584905660377358,25,0.3841171500985638
G-1025.json,53,183,0.06640058055152395,2,5,2,43,52,9,0.16981132075471697,6.90566037735849,28,0.44736570780492835
G-1029.json,53,200,0.07256894049346879,2,2,1,40,53,8,0.1509433962264151,7.547169811320755,26,0.3709433962264151
G-103.json,53,221,0.08018867924528301,17,33,3,31,51,23,0.4339622641509434,8.339622641509434,43,0.46529497139929993
G-1034.json,53,321,0.11647314949201741,9,56,2,23,52,31,0.5849056603773585,12.11320754716981,35,0.3584905660377358
G-1039.json,53,264,0.09579100145137881,4,6,1,29,53,25,0.4716981132075472,9.962264150943396,28,0.332904516866781
G-1040.json,53,199,0.07220609579100146,5,14,4,37,50,17,0.32075471698113206,7.509433962264151,28,0.43339338200436145
G-1043.json,53,308,0.11175616835994194,6,8,3,38,51,16,0.3018867924528302,11.622641509433961,30,0.3720289144817447
G-1052.json,53,333,0.12082728592162555,13,45,1,22,53,32,0.6037735849056604,12.566037735849056,45,0.3589438495098872
G-1059.json,53,293,0.10631349782293179,7,10,1,28,53,26,0.49056603773584906,11.056603773584905,32,0.3569450705132333
G-1080.json,53,313,0.11357039187227866,21,64,1,26,53,28,0.5283018867924528,11.81132075471698,36,0.3954427632768702
G-1083.json,53,226,0.08200290275761973,4,6,2,38,52,16,0.3018867924528302,8.528301886792454,28,0.39856403406244784
G-1086.json,53,220,0.07982583454281568,4,10,3,41,51,12,0.22641509433962265,8.30188679245283,28,0.39691252144082334
G-1087.json,53,328,0.11901306240928883,13,46,1,21,53,33,0.6226415094339622,12.377358490566039,38,0.3387022549470778
G-1090.json,53,274,0.09941944847605225,5,15,2,29,52,25,0.4716981132075472,10.339622641509434,29,0.3790111554882248
G-1093.json,53,212,0.07692307692307693,4,3,4,34,50,20,0.37735849056603776,8.0,28,0.3965824136703453
G-1098.json,53,285,0.10341074020319303,14,59,3,17,51,37,0.6981132075471698,10.754716981132075,40,0.3653095001655081
G-1099.json,53,197,0.07148040638606676,3,3,4,46,50,8,0.1509433962264151,7.433962264150943,30,0.44325256201513263
G-110.json,53,253,0.09179970972423802,7,12,1,32,53,22,0.41509433962264153,9.547169811320755,35,0.4012976359161757
G-1103.json,53,249,0.09034833091436865,9,4,2,35,52,18,0.33962264150943394,9.39622641509434,25,0.37000833522770327
G-1104.json,53,317,0.11502177068214804,10,25,3,33,51,21,0.39622641509433965,11.962264150943396,31,0.3381346348431641
G-1107.json,53,298,0.1081277213352685,5,7,3,33,51,21,0.39622641509433965,11.245283018867925,28,0.3231606939344055
G-1110.json,53,258,0.09361393323657474,10,21,1,30,53,24,0.4528301886792453,9.735849056603774,39,0.40076056750036565
G-1116.json,53,230,0.08345428156748912,3,4,3,44,51,10,0.18867924528301888,8.679245283018869,27,0.3718621821164889
G-1125.json,53,206,0.07474600870827286,2,1,3,49,51,4,0.07547169811320754,7.773584905660377,23,0.41683458508884413
G-1127.json,53,237,0.08599419448476052,1,0,2,52,52,2,0.03773584905660377,8.943396226415095,27,0.3367566276570337
G-1130.json,53,224,0.08127721335268505,1,3,6,40,48,14,0.2641509433962264,8.452830188679245,20,0.3821597035040431
G-1133.json,53,233,0.08454281567489115,4,8,1,32,53,22,0.41509433962264153,8.79245283018868,27,0.40675358328609607
G-1134.json,53,309,0.11211901306240929,15,31,1,20,53,34,0.6415094339622641,11.660377358490566,42,0.38877694327410395
G-1138.json,53,190,0.06894049346879536,5,0,1,48,53,3,0.05660377358490566,7.169811320754717,23,0.3583912611717974
G-114.json,53,261,0.09470246734397678,11,28,1,28,53,26,0.49056603773584906,9.849056603773585,32,0.3831417624521073
G-1140.json,53,188,0.06821480406386067,1,2,3,41,51,13,0.24528301886792453,7.09433962264151,26,0.3914090726615817
G-1149.json,53,264,0.09579100145137881,9,13,2,29,52,25,0.4716981132075472,9.962264150943396,25,0.3783590623213265
G-116.json,53,271,0.09833091436865021,12,48,2,26,52,27,0.5094339622641509,10.226415094339623,34,0.41961985657592427
G-1161.json,53,295,0.10703918722786647,5,24,1,31,53,23,0.4339622641509434,11.132075471698114,35,0.3223536936360729
G-1169.json,53,321,0.11647314949201741,7,15,2,29,52,24,0.4528301886792453,12.11320754716981,28,0.3114089225886087
G-117.json,53,257,0.09325108853410741,7,14,2,31,52,19,0.3584905660377358,9.69811320754717,29,0.38191028558842965
G-118.json,53,258,0.09361393323657474,4,6,2,36,52,18,0.33962264150943394,9.735849056603774,35,0.3861342694164107
G-1180.json,53,255,0.09252539912917271,11,14,2,34,52,20,0.37735849056603776,9.622641509433961,30,0.3952645209027007
G-1182.json,53,196,0.07111756168359942,4,5,1,38,53,16,0.3018867924528302,7.39622641509434,28,0.37119753561802077
G-1186.json,53,302,0.10957910014513789,7,7,1,30,53,24,0.4528301886792453,11.39622641509434,31,0.341496938648007
G-119.json,53,258,0.09361393323657474,2,2,2,36,52,16,0.3018867924528302,9.735849056603774,24,0.32572765832967676
G-1195.json,53,182,0.0660377358490566,3,1,5,43,49,7,0.1320754716981132,6.867924528301887,24,0.41385030064275347
G-1196.json,53,254,0.09216255442670537,3,1,3,40,51,8,0.1509433962264151,9.584905660377359,26,0.3525479126429951
G-1197.json,53,269,0.09760522496371553,8,22,4,26,50,28,0.5283018867924528,10.150943396226415,29,0.3699235463281195
G-120.json,53,268,0.09724238026124818,9,11,1,29,53,25,0.4716981132075472,10.11320754716981,33,0.3669388904533934
G-1204.json,53,295,0.10703918722786647,12,51,1,29,53,25,0.4716981132075472,11.132075471698114,37,0.39782539174928044
G-1205.json,53,315,0.11429608127721336,14,37,1,32,53,22,0.41509433962264153,11.88679245283019,35,0.3757412398921833
G-1206.json,53,229,0.08309143686502177,2,5,2,41,52,8,0.1509433962264151,8.641509433962264,29,0.4125401664332207
G-1209.json,53,209,0.0758345428156749,2,5,3,42,51,12,0.22641509433962265,7.886792452830188,32,0.4226776202943035
G-1220.json,53,318,0.11538461538461539,7,19,1,23,53,31,0.5849056603773585,12.0,43,0.3402753055654444
G-1221.json,53,242,0.08780841799709724,4,9,1,35,53,19,0.3584905660377358,9.132075471698114,36,0.39700608139716204
G-1226.json,53,272,0.09869375907111756,17,29,1,29,53,25,0.4716981132075472,10.264150943396226,41,0.40024972253052166
G-1232.json,53,219,0.07946298984034833,1,4,2,45,52,9,0.16981132075471697,8.264150943396226,29,0.38916171275954164
