edge_id,src_dst,w_true,w_hat_2stage,w_hat_spoplus,abs_err_2stage,abs_err_spoplus,in_opt,in_2stage,in_spoplus,in_2stage_symdiff,in_spoplus_symdiff,utility,recipient_cPRA
173,32 -> 47,31.848600387573242,16.837059212460748,20.7127675714166,15.011541175112495,11.135832816156643,False,True,True,True,True,0.8899999856948853,0.8809239864349365
74,14 -> 47,31.057199478149414,16.737391290807327,20.553504009450204,14.319808187342087,10.50369546869921,True,False,False,True,True,0.8799999952316284,0.8809239864349365
149,28 -> 22,25.69529914855957,15.71994736186288,19.40861485600424,9.97535178669669,6.286684292555329,True,True,True,False,False,0.8399999737739563,0.8125020265579224
203,39 -> 21,23.007600784301758,15.116112320891858,18.758109968635715,7.8914884634099,4.249490815666043,True,True,True,False,False,0.8199999928474426,0.7677736878395081
233,48 -> 19,21.034500122070312,15.72122299997125,18.0927592708971,5.313277122099063,2.9417408511732113,True,True,True,False,False,0.6700000166893005,1.0
179,33 -> 39,19.410600662231445,15.259816255688198,17.636611942589692,4.150784406543247,1.7739887196417534,True,True,True,False,False,0.6600000262260437,0.9599999785423279
22,5 -> 0,16.768999099731445,13.313549678123755,16.96886365415749,3.4554494216076908,0.19986455442604623,True,True,True,False,False,0.7799999713897705,0.6125355958938599
120,22 -> 15,13.167400360107422,13.945665329514974,15.396097769602694,0.7782649694075516,2.228697409495272,True,True,True,False,False,0.5099999904632568,0.9800000190734863
236,50 -> 27,9.258099555969238,8.770785422448387,14.015206743042548,0.48731413352085085,4.757107187073309,True,True,True,False,False,0.8799999952316284,0.0
216,44 -> 41,9.230999946594238,9.240393612048033,13.935831044960588,0.009393665453794497,4.70483109836635,True,False,False,True,True,0.8199999928474426,0.11805389076471329
226,47 -> 40,7.9446001052856445,12.251309176237651,12.688614842959733,4.306709070952007,4.744014737674089,False,True,True,True,True,0.3400000035762787,0.9800000190734863
112,21 -> 33,7.902100086212158,9.946338062840107,12.965911477750096,2.044237976627949,5.0638113915379375,True,True,True,False,False,0.6200000047683716,0.4165351092815399
99,19 -> 48,7.464399814605713,12.13317425604209,12.359265344392682,4.668774441436376,4.894865529786969,True,True,True,False,False,0.3100000023841858,1.0
243,51 -> 14,7.008399963378906,11.933838115701413,12.04073774581704,4.925438152322506,5.032337782438134,True,True,True,False,False,0.28999999165534973,1.0
160,30 -> 36,6.367400169372559,7.574769174472,12.104042100874407,1.2073690050994417,5.736641931501849,True,True,True,False,False,0.7599999904632568,0.0
248,52 -> 28,6.036399841308594,10.768516582894707,11.394202836418481,4.732116741586113,5.357802995109887,True,True,True,False,False,0.33000001311302185,0.8270581364631653
228,47 -> 44,6.0192999839782715,8.641518888354831,11.662634514549131,2.6222189043765596,5.6433345305708595,True,False,False,True,True,0.5899999737739563,0.3053150475025177
70,14 -> 32,4.27810001373291,8.594730592557307,9.920007772357657,4.316630578824396,5.641907758624747,False,True,True,True,True,0.3700000047683716,0.5426032543182373
76,15 -> 49,3.69569993019104,5.980081239881933,9.555823210840694,2.284381309690893,5.860123280649654,True,True,True,False,False,0.6000000238418579,0.0
143,27 -> 5,3.1333999633789062,9.5510392304074,8.303451607772162,6.417639267028493,5.170051644393256,True,True,True,False,False,0.05999999865889549,0.9900000095367432
190,36 -> 30,2.667099952697754,8.543158345267294,7.708665288186214,5.87605839256954,5.04156533548846,True,True,True,False,False,0.09000000357627869,0.8454884886741638
1,0 -> 44,2.0952999591827393,5.751146784134957,7.043987420380886,3.655846824952218,4.948687461198147,False,True,True,True,True,0.30000001192092896,0.3053150475025177
16,4 -> 30,31.236099243164062,16.61626742504023,20.609025673535445,14.619831818123831,10.627073569628617,False,False,False,False,False,0.8999999761581421,0.8454884886741638
94,19 -> 22,25.69529914855957,15.71994736186288,19.40861485600424,9.97535178669669,6.286684292555329,False,False,False,False,False,0.8399999737739563,0.8125020265579224
138,26 -> 21,24.244800567626953,15.315448164198697,19.076637092568504,8.929352403428256,5.168163475058449,False,False,False,False,False,0.8399999737739563,0.7677736878395081
96,19 -> 30,23.548200607299805,15.519919692784939,18.857125542619407,8.028280914514866,4.691075064680398,False,False,False,False,False,0.7900000214576721,0.8454884886741638
38,10 -> 28,22.3882999420166,15.253576918738485,18.561069295263295,7.1347230232781165,3.827230646753307,False,False,False,False,False,0.7799999713897705,0.8270581364631653
135,24 -> 25,22.180500030517578,15.920558843278089,18.411286394829887,6.259941187239489,3.7692136356876915,False,False,False,False,False,0.6899999976158142,1.0
168,32 -> 21,20.14859962463379,14.617772118557085,17.96179120951804,5.5308275060767045,2.186808415115749,False,False,False,False,False,0.7699999809265137,0.7677736878395081
83,16 -> 32,20.009199142456055,13.677799349423113,18.042457026929394,6.331399793032942,1.9667421155266602,False,False,False,False,False,0.8799999952316284,0.5426032543182373
244,51 -> 18,18.17060089111328,14.737439523365413,17.285355349814964,3.433161367747868,0.8852455412983176,False,False,False,False,False,0.6700000166893005,0.8912160992622375
130,23 -> 30,18.029199600219727,14.523239288115391,17.264488024384054,3.5059603121043352,0.7647115758356726,False,False,False,False,False,0.6899999976158142,0.8454884886741638
34,9 -> 39,17.895099639892578,14.960811896660266,17.158820307404802,2.9342877432323125,0.7362793324877757,False,False,False,False,False,0.6299999952316284,0.9599999785423279
210,42 -> 12,17.895099639892578,15.123214875983056,17.13717694981303,2.7718847639095223,0.7579226900795497,False,False,False,False,False,0.6100000143051147,1.0
218,46 -> 0,17.713899612426758,13.512886115498269,17.28739172737599,4.201013496928489,0.42650788505076775,False,False,False,False,False,0.800000011920929,0.6125355958938599
164,31 -> 39,17.412900924682617,14.861143975006845,16.999556745438408,2.551756949675772,0.4133441792442092,False,False,False,False,False,0.6200000047683716,0.9599999785423279
241,51 -> 1,17.412900924682617,14.61753977553894,17.03202200302159,2.7953611491436767,0.38087892166102577,False,False,False,False,False,0.6499999761581421,0.8999999761581421
107,20 -> 33,17.33060073852539,12.637374323753141,17.266031447985554,4.6932264147722496,0.06456929053983629,False,False,False,False,False,0.8899999856948853,0.4165351092815399
92,19 -> 2,17.235000610351562,14.224928426991358,17.019660412719016,3.0100721833602044,0.2153401976325462,False,False,False,False,False,0.6899999976158142,0.8125021457672119
158,30 -> 18,16.738500595092773,14.438435164337479,16.807563714630074,2.3000654307552946,0.06906311953730082,False,False,False,False,False,0.6399999856948853,0.8912160992622375
79,16 -> 6,14.336899757385254,14.001065489075003,15.906354662370767,0.33583426831025065,1.5694549049855127,False,False,False,False,False,0.5699999928474426,0.9200000166893005
33,9 -> 35,14.296500205993652,12.92732153318468,16.032162322696607,1.3691786728089728,1.7356621167029544,False,False,False,False,False,0.699999988079071,0.6579955816268921
31,9 -> 30,13.65369987487793,13.526558883445844,15.671850506148703,0.12714099143208557,2.018150631270773,False,False,False,False,False,0.5899999737739563,0.8454884886741638
105,19 -> 1,13.547900199890137,13.720527886590487,15.59864899603834,0.17262768670035022,2.050748796148204,False,False,False,False,False,0.5600000023841858,0.8999999761581421
196,38 -> 48,13.167400360107422,14.026866549660088,15.385275869611284,0.8594661895526663,2.2178755095038625,False,False,False,False,False,0.5,1.0
